timestamp,interface,rx_bytes_per_sec,tx_bytes_per_sec
2026-01-22 10:37:57,"intel[r] wi-fi 6 ax201 160mhz",139,139
2026-01-22 10:37:58,"intel[r] wi-fi 6 ax201 160mhz",0,0
2026-01-22 10:37:59,"intel[r] wi-fi 6 ax201 160mhz",0,0
2026-01-22 10:38:00,"intel[r] wi-fi 6 ax201 160mhz",326,326
2026-01-22 10:38:01,"intel[r] wi-fi 6 ax201 160mhz",293,293
2026-01-22 10:38:02,"intel[r] wi-fi 6 ax201 160mhz",139,139
2026-01-22 10:38:03,"intel[r] wi-fi 6 ax201 160mhz",178,178
2026-01-22 10:38:04,"intel[r] wi-fi 6 ax201 160mhz",1439,1439
2026-01-22 10:38:05,"intel[r] wi-fi 6 ax201 160mhz",571,571
2026-01-22 10:38:06,"intel[r] wi-fi 6 ax201 160mhz",0,0
2026-01-22 10:38:07,"intel[r] wi-fi 6 ax201 160mhz",267,267
2026-01-22 10:38:08,"intel[r] wi-fi 6 ax201 160mhz",21,21
2026-01-22 10:38:09,"intel[r] wi-fi 6 ax201 160mhz",21,21
2026-01-22 10:38:10,"intel[r] wi-fi 6 ax201 160mhz",444,444
2026-01-22 10:38:11,"intel[r] wi-fi 6 ax201 160mhz",389,389
2026-01-22 10:38:12,"intel[r] wi-fi 6 ax201 160mhz",310,310
2026-01-22 10:38:13,"intel[r] wi-fi 6 ax201 160mhz",4679,4679
2026-01-22 10:38:14,"intel[r] wi-fi 6 ax201 160mhz",21,21
2026-01-22 10:38:15,"intel[r] wi-fi 6 ax201 160mhz",247,247
2026-01-22 10:38:16,"intel[r] wi-fi 6 ax201 160mhz",386,386
2026-01-22 10:38:17,"intel[r] wi-fi 6 ax201 160mhz",351,351
2026-01-22 10:38:18,"intel[r] wi-fi 6 ax201 160mhz",5778,5778
2026-01-22 10:38:19,"intel[r] wi-fi 6 ax201 160mhz",48,48
2026-01-22 10:38:20,"intel[r] wi-fi 6 ax201 160mhz",0,0
2026-01-22 10:38:21,"intel[r] wi-fi 6 ax201 160mhz",45,45
2026-01-22 10:38:22,"intel[r] wi-fi 6 ax201 160mhz",278,278
2026-01-22 10:38:24,"intel[r] wi-fi 6 ax201 160mhz",0,0
2026-01-22 10:38:24,"intel[r] wi-fi 6 ax201 160mhz",21,21
2026-01-22 10:38:25,"intel[r] wi-fi 6 ax201 160mhz",0,0
2026-01-22 10:38:26,"intel[r] wi-fi 6 ax201 160mhz",68,68
2026-01-22 10:38:27,"intel[r] wi-fi 6 ax201 160mhz",387,387
2026-01-22 10:38:29,"intel[r] wi-fi 6 ax201 160mhz",27,27
2026-01-22 10:38:29,"intel[r] wi-fi 6 ax201 160mhz",306,306
2026-01-22 10:38:30,"intel[r] wi-fi 6 ax201 160mhz",53,53
2026-01-22 10:38:31,"intel[r] wi-fi 6 ax201 160mhz",135,135
2026-01-22 10:38:32,"intel[r] wi-fi 6 ax201 160mhz",259,259
2026-01-22 10:38:33,"intel[r] wi-fi 6 ax201 160mhz",1911,1911
2026-01-22 10:38:35,"intel[r] wi-fi 6 ax201 160mhz",1869,1869
2026-01-22 10:38:35,"intel[r] wi-fi 6 ax201 160mhz",209,209
2026-01-22 10:38:37,"intel[r] wi-fi 6 ax201 160mhz",0,0
2026-01-22 10:38:38,"intel[r] wi-fi 6 ax201 160mhz",139,139
2026-01-22 10:38:39,"intel[r] wi-fi 6 ax201 160mhz",0,0
2026-01-22 10:38:40,"intel[r] wi-fi 6 ax201 160mhz",0,0
2026-01-22 10:38:41,"intel[r] wi-fi 6 ax201 160mhz",166,166
2026-01-22 10:38:42,"intel[r] wi-fi 6 ax201 160mhz",0,0
2026-01-22 10:38:43,"intel[r] wi-fi 6 ax201 160mhz",303,303
2026-01-22 10:38:44,"intel[r] wi-fi 6 ax201 160mhz",0,0
2026-01-22 10:38:45,"intel[r] wi-fi 6 ax201 160mhz",301,301
2026-01-22 10:38:46,"intel[r] wi-fi 6 ax201 160mhz",142,142
2026-01-22 10:38:47,"intel[r] wi-fi 6 ax201 160mhz",741,741
2026-01-22 10:38:48,"intel[r] wi-fi 6 ax201 160mhz",5761,5761
2026-01-22 10:38:49,"intel[r] wi-fi 6 ax201 160mhz",27,27
2026-01-22 10:38:50,"intel[r] wi-fi 6 ax201 160mhz",143,143
2026-01-22 10:38:51,"intel[r] wi-fi 6 ax201 160mhz",0,0
2026-01-22 10:38:52,"intel[r] wi-fi 6 ax201 160mhz",161,161
2026-01-22 10:38:53,"intel[r] wi-fi 6 ax201 160mhz",186,186
2026-01-22 10:38:54,"intel[r] wi-fi 6 ax201 160mhz",21,21
2026-01-22 10:38:55,"intel[r] wi-fi 6 ax201 160mhz",3895,3895
2026-01-22 10:38:56,"intel[r] wi-fi 6 ax201 160mhz",60076,60076
2026-01-22 10:38:57,"intel[r] wi-fi 6 ax201 160mhz",8978,8978
2026-01-22 10:38:58,"intel[r] wi-fi 6 ax201 160mhz",23722,23722
2026-01-22 10:38:59,"intel[r] wi-fi 6 ax201 160mhz",16983,16983
2026-01-22 10:39:00,"intel[r] wi-fi 6 ax201 160mhz",27,27
2026-01-22 10:39:01,"intel[r] wi-fi 6 ax201 160mhz",0,0
2026-01-22 10:39:02,"intel[r] wi-fi 6 ax201 160mhz",244,244
2026-01-22 10:39:03,"intel[r] wi-fi 6 ax201 160mhz",270,270
2026-01-22 10:39:04,"intel[r] wi-fi 6 ax201 160mhz",0,0
2026-01-22 10:39:05,"intel[r] wi-fi 6 ax201 160mhz",88,88
2026-01-22 10:39:06,"intel[r] wi-fi 6 ax201 160mhz",89,89
2026-01-22 10:39:07,"intel[r] wi-fi 6 ax201 160mhz",139,139
2026-01-22 10:39:08,"intel[r] wi-fi 6 ax201 160mhz",127,127
2026-01-22 10:39:09,"intel[r] wi-fi 6 ax201 160mhz",59,59
2026-01-22 10:39:10,"intel[r] wi-fi 6 ax201 160mhz",5502,5502
2026-01-22 10:39:11,"intel[r] wi-fi 6 ax201 160mhz",1509,1509
2026-01-22 10:39:12,"intel[r] wi-fi 6 ax201 160mhz",138,138
2026-01-22 10:39:13,"intel[r] wi-fi 6 ax201 160mhz",425,425
2026-01-22 10:39:14,"intel[r] wi-fi 6 ax201 160mhz",253,253
2026-01-22 10:39:15,"intel[r] wi-fi 6 ax201 160mhz",0,0
2026-01-22 10:39:16,"intel[r] wi-fi 6 ax201 160mhz",0,0
2026-01-22 10:39:17,"intel[r] wi-fi 6 ax201 160mhz",193,193
2026-01-22 10:39:18,"intel[r] wi-fi 6 ax201 160mhz",187,187
2026-01-22 10:39:19,"intel[r] wi-fi 6 ax201 160mhz",106,106
2026-01-22 10:39:20,"intel[r] wi-fi 6 ax201 160mhz",0,0
2026-01-22 10:39:21,"intel[r] wi-fi 6 ax201 160mhz",0,0
2026-01-22 10:39:22,"intel[r] wi-fi 6 ax201 160mhz",369,369
2026-01-22 10:39:23,"intel[r] wi-fi 6 ax201 160mhz",165,165
2026-01-22 10:39:24,"intel[r] wi-fi 6 ax201 160mhz",0,0
2026-01-22 10:39:25,"intel[r] wi-fi 6 ax201 160mhz",0,0
2026-01-22 10:39:26,"intel[r] wi-fi 6 ax201 160mhz",41,41
2026-01-22 10:39:27,"intel[r] wi-fi 6 ax201 160mhz",539,539
2026-01-22 10:39:28,"intel[r] wi-fi 6 ax201 160mhz",233,233
2026-01-22 10:39:29,"intel[r] wi-fi 6 ax201 160mhz",229,229
2026-01-22 10:39:30,"intel[r] wi-fi 6 ax201 160mhz",0,0
2026-01-22 10:39:31,"intel[r] wi-fi 6 ax201 160mhz",0,0
2026-01-22 10:39:32,"intel[r] wi-fi 6 ax201 160mhz",192,192
2026-01-22 10:39:33,"intel[r] wi-fi 6 ax201 160mhz",207,207
2026-01-22 10:39:34,"intel[r] wi-fi 6 ax201 160mhz",410,410
2026-01-22 10:39:35,"intel[r] wi-fi 6 ax201 160mhz",42,42
2026-01-22 10:39:36,"intel[r] wi-fi 6 ax201 160mhz",0,0
2026-01-22 10:39:37,"intel[r] wi-fi 6 ax201 160mhz",139,139
2026-01-22 10:39:38,"intel[r] wi-fi 6 ax201 160mhz",131,131
2026-01-22 10:39:39,"intel[r] wi-fi 6 ax201 160mhz",588,588
2026-01-22 10:39:40,"intel[r] wi-fi 6 ax201 160mhz",82,82
2026-01-22 10:39:41,"intel[r] wi-fi 6 ax201 160mhz",1025,1025
2026-01-22 10:39:42,"intel[r] wi-fi 6 ax201 160mhz",139,139
2026-01-22 10:39:43,"intel[r] wi-fi 6 ax201 160mhz",0,0
2026-01-22 10:39:44,"intel[r] wi-fi 6 ax201 160mhz",563,563
2026-01-22 10:39:45,"intel[r] wi-fi 6 ax201 160mhz",755,755
2026-01-22 10:39:46,"intel[r] wi-fi 6 ax201 160mhz",0,0
2026-01-22 10:39:47,"intel[r] wi-fi 6 ax201 160mhz",193,193
2026-01-22 10:39:48,"intel[r] wi-fi 6 ax201 160mhz",255,255
2026-01-22 10:39:49,"intel[r] wi-fi 6 ax201 160mhz",288,288
2026-01-22 10:39:50,"intel[r] wi-fi 6 ax201 160mhz",1806,1806
2026-01-22 10:39:51,"intel[r] wi-fi 6 ax201 160mhz",7035,7035
2026-01-22 10:39:52,"intel[r] wi-fi 6 ax201 160mhz",1103,1103
2026-01-22 10:39:53,"intel[r] wi-fi 6 ax201 160mhz",870,870
2026-01-22 10:39:54,"intel[r] wi-fi 6 ax201 160mhz",5458,5458
2026-01-22 10:39:55,"intel[r] wi-fi 6 ax201 160mhz",27,27
2026-01-22 10:39:56,"intel[r] wi-fi 6 ax201 160mhz",487,487
2026-01-22 10:39:57,"intel[r] wi-fi 6 ax201 160mhz",236,236
2026-01-22 10:39:58,"intel[r] wi-fi 6 ax201 160mhz",0,0
2026-01-22 10:39:59,"intel[r] wi-fi 6 ax201 160mhz",0,0
2026-01-22 10:40:00,"intel[r] wi-fi 6 ax201 160mhz",265,265
2026-01-22 10:40:01,"intel[r] wi-fi 6 ax201 160mhz",1396,1396
2026-01-22 10:40:02,"intel[r] wi-fi 6 ax201 160mhz",2353,2353
2026-01-22 10:40:03,"intel[r] wi-fi 6 ax201 160mhz",108,108
2026-01-22 10:40:04,"intel[r] wi-fi 6 ax201 160mhz",293,293
2026-01-22 10:40:05,"intel[r] wi-fi 6 ax201 160mhz",0,0
2026-01-22 10:40:06,"intel[r] wi-fi 6 ax201 160mhz",0,0
2026-01-22 10:40:07,"intel[r] wi-fi 6 ax201 160mhz",267,267
2026-01-22 10:40:08,"intel[r] wi-fi 6 ax201 160mhz",127,127
2026-01-22 10:40:09,"intel[r] wi-fi 6 ax201 160mhz",0,0
2026-01-22 10:40:10,"intel[r] wi-fi 6 ax201 160mhz",0,0
2026-01-22 10:40:11,"intel[r] wi-fi 6 ax201 160mhz",0,0
2026-01-22 10:40:12,"intel[r] wi-fi 6 ax201 160mhz",139,139
2026-01-22 10:40:13,"intel[r] wi-fi 6 ax201 160mhz",36445,36445
2026-01-22 10:40:14,"intel[r] wi-fi 6 ax201 160mhz",696,696
2026-01-22 10:40:15,"intel[r] wi-fi 6 ax201 160mhz",0,0
2026-01-22 10:40:16,"intel[r] wi-fi 6 ax201 160mhz",177,177
2026-01-22 10:40:17,"intel[r] wi-fi 6 ax201 160mhz",139,139
2026-01-22 10:40:18,"intel[r] wi-fi 6 ax201 160mhz",54,54
2026-01-22 10:40:19,"intel[r] wi-fi 6 ax201 160mhz",160,160
2026-01-22 10:40:20,"intel[r] wi-fi 6 ax201 160mhz",0,0
2026-01-22 10:40:21,"intel[r] wi-fi 6 ax201 160mhz",0,0
2026-01-22 10:40:22,"intel[r] wi-fi 6 ax201 160mhz",1991,1991
2026-01-22 10:40:23,"intel[r] wi-fi 6 ax201 160mhz",48,48
2026-01-22 10:40:24,"intel[r] wi-fi 6 ax201 160mhz",360,360
2026-01-22 10:40:25,"intel[r] wi-fi 6 ax201 160mhz",0,0
2026-01-22 10:40:26,"intel[r] wi-fi 6 ax201 160mhz",0,0
2026-01-22 10:40:27,"intel[r] wi-fi 6 ax201 160mhz",371,371
2026-01-22 10:40:28,"intel[r] wi-fi 6 ax201 160mhz",68,68
2026-01-22 10:40:29,"intel[r] wi-fi 6 ax201 160mhz",125,125
2026-01-22 10:40:30,"intel[r] wi-fi 6 ax201 160mhz",0,0
2026-01-22 10:40:31,"intel[r] wi-fi 6 ax201 160mhz",0,0
2026-01-22 10:40:32,"intel[r] wi-fi 6 ax201 160mhz",0,0
2026-01-22 10:40:33,"intel[r] wi-fi 6 ax201 160mhz",53,53
2026-01-22 10:40:34,"intel[r] wi-fi 6 ax201 160mhz",262,262
2026-01-22 10:40:35,"intel[r] wi-fi 6 ax201 160mhz",120,120
2026-01-22 10:40:36,"intel[r] wi-fi 6 ax201 160mhz",0,0
2026-01-22 10:40:37,"intel[r] wi-fi 6 ax201 160mhz",229,229
2026-01-22 10:40:38,"intel[r] wi-fi 6 ax201 160mhz",89,89
